anomaly,Timestamp,IR Value
54.87,65306,109779.00
54.99,65427,109772.00
55.11,65548,110023.00
55.23,65669,110186.00
55.35,65788,110261.00
55.47,65909,109626.00
55.59,66030,109480.00
55.71,66151,109857.00
55.83,66272,109882.00
55.95,66392,110169.00
56.07,66512,110279.00
56.19,66633,110237.00
56.31,66754,109411.00
56.43,66874,110150.00
56.56,66995,110148.00
56.68,67116,110420.00
56.8,67236,110487.00
56.92,67358,110576.00
57.04,67477,109855.00
57.16,67599,110384.00
57.28,67720,110230.00
57.4,67841,110425.00
57.52,67961,110512.00
57.64,68081,110422.00
57.76,68202,109762.00
57.88,68323,110261.00
58.0,68444,110200.00
58.12,68564,110369.00
58.24,68684,110466.00
58.37,68805,110111.00
58.49,68926,109721.00
58.61,69047,110094.00
58.73,69167,110011.00
58.85,69287,110219.00
58.97,69408,110323.00
59.09,69529,109618.00
59.21,69650,109802.00
59.33,69770,110008.00
59.45,69891,110108.00
59.57,70011,110246.00
59.69,70133,110316.00
59.81,70254,109304.00
59.93,70373,109880.00
60.06,70495,109809.00
